anno_id,image,question,answer
51,15.jpg,quán trong ảnh là quán gì ?,bún đậu cầu gỗ
52,15.jpg,quán trong ảnh là chi nhánh thứ mấy ?,2
53,15.jpg,địa chỉ quán ở đâu ?,"202 nguyễn trãi , q . 1"
54,15.jpg,số điện thoại của quán là gì ?,0908335778
58,17.jpg,ở đây là đâu ?,phố tạ hiện
59,17.jpg,quán đằng sau bán gì ?,bia phố cổ
60,18.jpg,bảng đặt trên bãi cỏ nhắc điều gì ?,không giẫm lên cỏ
61,18.jpg,bảng nhắc không được làm gì ?,giẫm lên cỏ
62,18.jpg,tấm bảng nhắc mọi người không được làm gì bãi cỏ ?,giẫm
63,19.jpg,ở đây là đâu ?,nhà thuốc ngọc hà
64,19.jpg,nhà thuốc này đạt chuẩn gì ?,gpp
65,19.jpg,nhà thuốc này chuyên gì ?,bán lẻ các loại thuộc nội ngoại nhập
66,19.jpg,địa chỉ nhà thuốc ở đâu ?,"114 đường trục , p . 13 , q . bình thạnh"
67,20.jpg,nơi này tên gì ?,dịch vụ chăm sóc xe hơi 101
68,20.jpg,ở đây có những dịch vụ gì ?,"rửa xe , rửa máy , dọn nội thất , thay dầu , thay cốc lọc dầu , khử mùi điều hòa"
69,20.jpg,ở đây có những dịch vụ gì ?,"diệt khuẩn điều hòa , diệt khuẩn nội thất , chăm sóc xe cao cấp , hiệu chỉnh bề mặt sơn"
70,20.jpg,bức hình này lấy nguồn ở đâu ?,yenphat . vn
71,20.jpg,số điện thoại nơi này là gì ?,0359835589
82,24.jpg,cửa tiệm trong ảnh tên gì ?,huy hoàng
83,24.jpg,cửa tiệm đang dán tấm hiệu gì ?,tuyển nhân viên
84,24.jpg,số điện thoại liên hệ tuyển nhân viên là gì ?,0968 449 996
91,26.jpg,cách 8 km nữa là tới đâu ?,trung tâm huyện an dương
92,26.jpg,trung tâm huyện an dương còn cách bao xa nữa ?,8 km
93,26.jpg,nơi đây thuộc địa phận thành phố nào ?,hải phòng
94,27.jpg,tấm bảng yêu cầu mọi người chấp hành gì ?,luật lệ giao thông
95,27.jpg,tấm bảng yêu cầu mọi người chấp hành luật lệ giao thông để làm gì ?,"bảo vệ tính mạng , tài sản cho mình và cho người khác"
96,27.jpg,ai là người ra tấm bảng này ?,ban an toàn giao thông quận 4
97,27.jpg,đèn xanh còn bao nhiêu giây nữa ?,22
98,28.jpg,ở đây bán máy lạnh hãng gì ?,panasonic
99,28.jpg,ở đây bán máy lạnh hãng gì ?,samsung
100,28.jpg,ở đây bán máy lạnh hãng gì ?,daikin
101,28.jpg,ở đây bán máy lạnh hãng gì ?,toshiba
102,29.jpg,nguồn tấm ảnh này là của ai ?,hoàng long adv
103,29.jpg,hoàng long adv nhận làm việc gì ?,thi công bảng hiệu quảng cáo chuyên nghiệp
104,29.jpg,số điện thoại của hoàng long adv là gì ?,0972822827
105,29.jpg,địa chỉ của hoàng long adv là gì ?,"5 - 7 lê trọng tấn , f . sơn kỳ , q . tân phú , hcm"
106,29.jpg,cửa tiệm trong ảnh tên gì ?,katinat
110,31.jpg,cửa tiệm trong ảnh là gì ?,quầy thuốc tây
111,31.jpg,quầy thuốc tây trong ảnh tên gì ?,tường vy
112,31.jpg,quầy thuốc tây trong ảnh thuộc sở y tế nào ?,bình phước
113,31.jpg,địa chỉ quầy thuốc tây là gì ?,"113 đường lê duẩn , p . tân phú , tx . đồng xoài , bp"
114,31.jpg,số điện thoại liên lạc quầy thuốc tây là gì ?,01692 . 28 . 28 . 38
115,32.jpg,đây là ở đâu ?,homy dentistry
121,34.jpg,quầy trong ảnh đang bán gì ?,táo gala balan
122,34.jpg,quầy táo trong ảnh bán táo gì ?,gala balan
123,34.jpg,giá của táo gala balan là bao nhiêu ?,64 . 000
124,35.jpg,nơi trong ảnh tên gì ?,đình tân trào
125,35.jpg,quốc dân đại hội diễn ra vào khoảng thời gian nào ?,ngày 16 và 17 tháng 8 năm 1945
126,35.jpg,quốc dân đại hội diễn ra ở đâu ?,đình tân trào
127,36.jpg,tiệm tạp hóa bên trái tấm ảnh tên gì ?,thắng lợi
128,36.jpg,tiệm tạp hóa bên phải tấm ảnh tên gì ?,quỳnh trang
129,36.jpg,tạp hóa quỳnh trang chuyên bán cái gì ?,bánh kẹo - bia rượu - thuốc lá
130,36.jpg,tiệm nằm kế bên tạp hóa quỳnh trang tên gì ?,minh tuấn
131,36.jpg,hotel kế bên tạp hóa thắng lợi tên là gì ?,eden
132,36.jpg,tiệm duy nhất có bảng hiệu màu hồng tên là gì ?,shop minh tuấn
133,37.jpg,ngân hàng trong ảnh tên là gì ?,viet a bank
134,37.jpg,cửa tiệm bên trên viet a bank tên là gì ?,vĩ hùng
135,37.jpg,cửa tiệm cuối ở bên trái tấm ảnh tên là gì ?,hiếu thông
136,37.jpg,địa điểm chụp của ảnh này là ở đâu ?,hải thượng lãn ông q5
137,37.jpg,số điện thoại liên lạc trong ảnh là gì ?,1900 638006
144,39.jpg,tấm quảng cáo này là của ai ?,phongvu . vn
145,39.jpg,thời gian diễn ra sự kiện là bao lâu ?,06 - 08 . 01 . 2023
146,39.jpg,sự kiện trên tấm quảng cáo là gì ?,giảm chồng giảm
147,39.jpg,địa chỉ tiệm trong ảnh là gì ?,"số 2a nguyễn oanh , phường 7 , quận gò vấp , tp . hcm"
148,39.jpg,đơn từ 15 triệu được giảm bao nhiêu ?,500k
149,39.jpg,đơn từ 23 triệu được giảm bao nhiêu ?,800k
150,39.jpg,đơn từ bao nhiêu thì được giảm 1 . 2 triệu ?,35
151,40.jpg,nguồn tấm ảnh này là đâu ?,bạc liêu online
152,40.jpg,chợ trong ảnh là chợ gì ?,"nông sản , thực phẩm"
153,40.jpg,bia trên cái ô là bia gì ?,saigon
154,41.jpg,quán này tên là gì ?,lẩu bò năm c
155,41.jpg,quán này bán món gì ?,bò tơ tây ninh
156,41.jpg,số hotline quán này là gì ?,0973 . 012 . 210
157,42.jpg,ở đây nhận làm gì ?,giặt là
158,42.jpg,ở đây giặt ủi lấy nhanh sau bao lâu ?,1 giờ
159,42.jpg,địa chỉ nơi này là gì ?,02 chu văn an - tp . huế
160,42.jpg,số điện thoại nơi này là gì ?,0169 . 6960 . 199
161,43.jpg,nơi trong ảnh là gì ?,chợ phũng khoang
162,43.jpg,chợ trong ảnh tên là gì ?,phũng khoang
163,43.jpg,tấm băng chúc mừng năm mới vào năm bao nhiêu ?,2018
164,44.jpg,thùng hàng bên phải bức hình là gì ?,phở gà
165,44.jpg,thùng hàng bên phải bức hình là gì ?,phở bò
166,44.jpg,thùng phở gà bên phải bức hình của hãng nào ?,vifon
167,44.jpg,giá khuyến mãi các thùng hàng là bao nhiêu ?,189500
168,44.jpg,giá khuyến mãi các thùng hàng là bao nhiêu ?,81000
169,45.jpg,nơi trong ảnh tên là gì ?,go !
170,45.jpg,nhãn hàng xuất hiện trên bức tường là gì ?,nguyenkim
171,45.jpg,nhãn hàng xuất hiện trên bức tường là gì ?,jolibee
172,45.jpg,nhãn hàng xuất hiện trên bức tường là gì ?,lotteria
173,46.jpg,tiệm ở ngã rẽ đường tên là gì ?,the coffee house
174,46.jpg,địa chỉ the coffee house là gì ?,185 tran huy lieu
175,46.jpg,tiệm kế bên the coffee house bán gì ?,mắt kính
176,46.jpg,tiệm mắt kính trong ảnh tên là gì ?,tân phu gia
177,46.jpg,địa chỉ của tiệm mắt kính là gì ?,183 trần huy liệu
183,48.jpg,tiệm trong ảnh tên là gì ?,yến sào sài gòn anpha
184,48.jpg,chè tổ yến có giá bao nhiêu ?,260 . 000
185,48.jpg,ở đây bán món gì ?,yến sào
186,48.jpg,địa chỉ web của tiệm này là gì ?,www . yensaosaigonanpha . com
187,48.jpg,địa chỉ quán là gì ?,"9c nơ trang long , p . 7 , q . bình thạnh , tp . hồ chí minh"
188,49.jpg,ở đây là đâu ?,siêu thị mini 0 đồng
189,49.jpg,đơn vị tổ chức có đơn vị nào ?,sở công thương tp . hồ chí minh
190,49.jpg,đơn vị tổ chức có đơn vị nào ?,hội doanh nghiệp hvnclc
191,49.jpg,đơn vị đồng hành có đơn vị nào ?,hội doanh nhân trẻ tp . hồ chí minh
192,49.jpg,đơn vị đồng hành có đơn vị nào ?,hội nữ doanh nhân tp . hồ chí minh
193,50.jpg,tiệm trong ảnh tên là gì ?,link link
194,50.jpg,nguồn của ảnh nhận làm gì ?,làm bảng quảng cáo giá rẻ
195,50.jpg,số điện thoại hotline trên ảnh là gì ?,0935 248 949
196,51.jpg,cuốn sách này tên là gì ?,bồ câu không đưa thư
197,51.jpg,tác giả của cuốn sách là ai ?,nguyễn nhật ánh
198,51.jpg,cuốn sách được in lần thứ bao nhiêu ?,46
199,51.jpg,nhà xuất bản cuốn sách này tên gì ?,trẻ
200,52.jpg,nơi trong ảnh tên là gì ?,lộc phúc fine jewelry
201,52.jpg,nơi này bán gì ?,trang sức
202,52.jpg,tấm ảnh đang gợi ý trang sức cho năm bao nhiêu ?,2022
203,53.jpg,nơi này tên là gì ?,amy
204,53.jpg,nơi này nhận làm gì ?,wedding - studio - make up
205,53.jpg,nơi này nhận làm gì ?,đào tạo học viện
206,53.jpg,địa chỉ nơi này là gì ?,31 / 01 - kp . 8 - p . tân phong - biên hòa - đn
207,53.jpg,địa chỉ nơi này là gì ?,"31 / 1 nguyễn ái quốc , p . tân phong , biên hòa - đồng nai"
208,54.jpg,nơi này là đâu ?,cửa hàng xăng dầu hoàn sơn
209,54.jpg,cửa hàng xăng dầu này tên gì ?,hoàn sơn
210,55.jpg,mã qr trên tường dùng để tải app gì ?,vinid
211,55.jpg,1 điểm hóa đơn vinmart bằng bao nhiên tiền ?,1000 đ
212,55.jpg,app vinid được tải trên kho ứng dụng nào ?,app store
213,55.jpg,app vinid được tải trên kho ứng dụng nào ?,google play
214,56.jpg,tiệm này tên gì ?,hiệu giày lucky
215,56.jpg,nơi này chuyên làm gì ?,sản xuất các loại giày dép thời trang - chất lượng cao
216,56.jpg,địa chỉ nơi này là gì ?,109 đường 30 / 4 - p . trung dũng - biên hòa
217,56.jpg,số điện thoại nơi này là gì ?,061 . 3827021
218,57.jpg,nơi này tên là gì ?,tiệm cà phê hoa giấy
219,57.jpg,địa chỉ nơi này là gì ?,"19 huỳnh tịnh của p . 8 , q . 3 , tp . hcm"
220,57.jpg,nơi này thuộc thành phố nào ?,hcm
221,58.jpg,trường mầm non trong ảnh tên là gì ?,hoa lư
222,58.jpg,trường hoa lư trong ảnh là trường gì ?,mầm non
223,58.jpg,trường mầm non trong ảnh được quản lý bởi ai ?,ủy ban nhân dân quận 1
224,58.jpg,số điện thoại trường trong ảnh là gì ?,08 38102544
225,58.jpg,số điện thoại trường trong ảnh là gì ?,08 39111501
226,59.jpg,trường trong ảnh tên gì ?,võ thị sáu
227,59.jpg,trường trong ảnh là trường gì ?,tiểu học
228,60.jpg,nơi trong ảnh tên là gì ?,hồ nam
229,60.jpg,nơi trong ảnh là gì ?,khu du lịch sinh thái
230,61.jpg,khách sạn này tên gì ?,thanh an
231,61.jpg,thanh an là nơi nào ?,hotel
233,63.jpg,đây là cửa hàng gì ?,sách24h
237,65.jpg,đây là buổi gì ?,họp báo
238,65.jpg,buổi họp báo này do ai tổ chức ?,bộ tài nguyên và môi trường
239,65.jpg,buổi họ báo thông báo về vấn đề gì ?,thông báo các hoạt động tuần lễ biển và hải đảo việt nam năm 2013
242,67.jpg,tên của cửa hàng bên phải ?,phương hưng
243,67.jpg,tên của hàng bên trái ?,tỷ vân
244,67.jpg,số điện thoại của cửa hàng tỷ vân ?,028 . 03573818
249,69.jpg,đây là buổi lễ gì ?,lễ tổng kết và trao giải thưởng
250,69.jpg,buổi lễ được tổ chức ở đâu ?,thành phố huế
251,69.jpg,buổi lễ được tổ chức vào ngày nào ?,ngày 27 tháng 10 năm 2018
254,71.jpg,cần bán nhà ở địa chỉ nào ?,hiệp thành45quận12 tphcm
255,71.jpg,số điện thoại liên hệ mua nhà là số nào ?,0898153778
256,71.jpg,số điện thoại liên hệ mua nhà là số nào ?,0969728347
257,72.jpg,bức hình được lấy ở wedsite nào ?,thongtinhanquoc . com
258,73.jpg,đây là quầy gì ?,trứng ăn liền
259,74.jpg,đây là khu vực nào ?,chợ đồng xuân
260,74.jpg,bức hình được lấy ở báo nào ?,lao động thủ đô
261,74.jpg,wedsite để lấy bức hình này ?,laodongthudo . com
262,75.jpg,đây là bảo hiệu chỉ địa điểm nào ?,phố
263,75.jpg,tên của phố này là gì ?,lý tự trọng
264,75.jpg,lý tự trọng sinh năm bao nhiêu ?,1914
265,75.jpg,lý tự trọng mất năm bao nhiêu ?,1931
266,75.jpg,quê của lý tự trọng ở đâu ?,huyện thạch hà tỉnh hà tĩnh
274,78.jpg,đây là địa điểm nào ?,chợ bách hóa giồng riềng ?
275,78.jpg,tên của cửa hàng bách hóa mỹ phẩm ?,thanh thủy
276,79.jpg,đây là khu vực nào ?,chợ đồng xuân
277,79.jpg,đây có cửa hàng nào ?,tầm thu
278,79.jpg,đây có cửa hàng nào ?,hùng ngà
279,79.jpg,đây có cửa hàng nào ?,hành my
280,79.jpg,bức hình được lấy ở wedsite nào ?,dulichkhampha24h . com
281,80.jpg,chương trình này diễn ra vào ngày nào ?,12 . 12
282,80.jpg,tên của chương trình này ?,sale to cuối năm
283,80.jpg,tên của thông báo này ?,những con số ấn tượng trong 2h đầu tiên
286,82.jpg,tên của khu di tích này ?,di tích gò tháp mười
287,82.jpg,bảng hiệu này do ai làm ?,bql khu di tích gò tháp
288,83.jpg,bức ảnh lấy từ nguồn nào ?,uit media club
294,86.jpg,tên của hệ thống siêu thị là gì ?,hanatech
295,86.jpg,số điện thoại liên hệ của hàng là gì ?,0369124565
296,86.jpg,số điện thoại liên hệ của hàng là gì ?,0329576282
297,87.jpg,tên của bức hình ?,chụp ảnh cưới đẹp và tự nhiên ở phố cổ hà nội
298,88.jpg,tên của cửa hàng là gì ?,cocobee
299,89.jpg,tên của cửa hàng là gì ?,pao quán
300,89.jpg,đây là đâu ?,pao quán
301,90.jpg,hình thức buôn bán ở đây là gì ?,bán sỉ và bán lẻ
302,90.jpg,bức hình được lấy ở báo nào ?,báo công thương
303,91.jpg,tên của bộ phim này ?,đéo ai quan tâm
304,92.jpg,tên của bức hình này là gì ?,miền tây có gì
305,92.jpg,bức hình này được lấy ở đâu ?,trang vlog miền tây
306,92.jpg,bức hình được chụp ở đâu ?,miền tây
307,93.jpg,tên của cửa hàng này ?,tiệm trà chanh nhiệt đới
308,93.jpg,địa chỉ của cửa hàng này ?,"số 2 - 2 trần vĩ , mai dịch , cầu giấy , hà nội"
309,93.jpg,số điện thoại của cửa hàng này ?,0968 252 569
317,95.jpg,trên bản đồ đánh dấu khu vực màu xanh là khu vực gì ?,3 khu vực khách sạn giá rẻ
318,95.jpg,trên bản đồ đánh dấu khu vực màu đỏ là khu vực gì ?,khu vực phố cổ hà nội
319,95.jpg,bức hình được lấy ở đâu ?,toidi
320,96.jpg,tên của cửa hàng này là gì ?,pega
321,96.jpg,xe điện tiết kiệp gấp bao nhiêu lần xe ga ?,33 lần
322,96.jpg,sologan của của cửa hàng này là gì ?,sản phẩm chất lượng - bảo hành uy tín
324,98.jpg,tên của cửa hàng đầu tiên trong bức hình ?,gucci
325,99.jpg,đây là khu vực nào ?,khoa kỹ thuật hóa học
327,101.jpg,wedsite của của hàng đầu tiên là gì ?,www . kemtrangtien . vn
328,101.jpg,số điện thoại của cửa hàng đầu tiên là bao nhiêu ?,0986 257 979
329,102.jpg,tên của cuốn sách này là gì ?,hoa hải đường chưa ngủ
330,102.jpg,tên người dịch tiểu thuyết này ?,thu trang
331,102.jpg,cuốn sách này do nxb nào phát hành ?,nxb thanh niên
334,104.jpg,wedsite để lấy bức hình này tên gì ?,kenh14 . vn
335,105.jpg,tên của quán là gì ?,lạ . . . ! quán
336,105.jpg,địa chỉ của quán này ở đâu ?,"129 nguyễn du , q1 , tp hcm"
337,105.jpg,số điện thoại của quán này là bao nhiêu ?,0972 898 869
338,106.jpg,cuốn sách này tên gì ?,siêu đầu bếp
339,106.jpg,cuốn sách này do ai dịch ?,tú anh
340,107.jpg,của hàng này tên gì ?,đắc hùng
341,107.jpg,của hàng này bán gì ?,vịt - heo quay
344,109.jpg,bức hình này muốn đưa ra thông điệp gì ?,tiêu chuẩn hà lan trong từng hộp sữa
345,110.jpg,ở đây bán gì ?,nước hoa charme
346,110.jpg,số điện thoại của ms lý là bao nhiêu ?,097 . 997 . 3013
347,110.jpg,số điện thoại của ms lệ là bao nhiêu ?,0902 . 009 . 049
350,112.jpg,đây là khu vực nào ?,sàigònsquare
351,113.jpg,bức hình này được lấy ở đâu ?,sky studio
352,114.jpg,tên của cửa hàng này là gì ?,thảo uyên
353,115.jpg,tên bức hình này ?,hoi an
354,116.jpg,tên của cửa hàng này là gì ?,lẩu quê nhà
355,116.jpg,giá tiền của lẩu tháp là bao nhiêu ?,139
356,116.jpg,giá tiền của lẩu bay là bao nhiêu ?,120
357,117.jpg,chữ trong bức hình ?,lái xe hạng
358,118.jpg,sao chiếc xe tăng có câu nói gì ?,không có gì quý hơn độc lập tự do
359,118.jpg,câu nói này là của ai ?,hồ chí minh
360,119.jpg,tên bức hình này là gì ?,chợ bắc hà
361,119.jpg,bức hình được lấy ở wed site nào ?,www . nemtv . vn
362,120.jpg,bức hình quả cáo cho siêu thị nào ?,winmart
363,121.jpg,trong bức hình có thương hiệu nào ?,satramart
364,121.jpg,trong bức hình có thương hiệu nào ?,bidv
365,121.jpg,trong bức hình có thương hiệu nào ?,highland coffee
367,123.jpg,đây là xe gì ?,xe thư báo
368,123.jpg,ở đây có cửa hàng gì ?,rửa xe
369,124.jpg,tên của cuốn sách này là gì ?,tâm lý học về tiền
370,125.jpg,tên của cuốn sách này là gì ?,phố cổ hà nội kí họa và hồi ức
371,125.jpg,cuốn sách này của ai ?,nhiều tác giả
372,125.jpg,nhà xuất bản nào phát hành cuốn sách này ?,nhà xuất bản kim đồng
373,125.jpg,cuốn sách này của công ty nào ?,wingsbooks
378,127.jpg,ở đây bán gì ?,khoai lang tím giống nhật
379,127.jpg,giá của khoai lang tím giống nhật là bao nhiêu ?,5900
380,128.jpg,ở đây là phố nào ?,lý thường kiệt
381,128.jpg,công ty nào đang xây dựng tòa nhà ?,vinaconex2
382,128.jpg,slogan của công ty xây dựng là gì ?,an toàn - chất lượng - hiệu quả - tiến độ
389,131.jpg,hình này được lấy ở đâu ?,istock
390,132.jpg,bức hình này được lấy ở đâu ?,kiến thức
391,132.jpg,ở đây bán bánh gì ?,camely
392,132.jpg,ở đây bán bánh gì ?,goute
401,136.jpg,tên của của hàng ?,sake quán
402,136.jpg,đại chỉ của cửa hàng ?,19 bùi quang là - p12 - q . gò vấp - tp . hcm
404,138.jpg,đây là đâu ?,chợ
405,138.jpg,tên của khu chợ này ?,chợ thất khê
406,138.jpg,bức ảnh được chụp năm bao nhiêu ?,2001
407,139.jpg,ở đây có cửa hàng nào ?,mon
408,139.jpg,ở đây có cửa hàng nào ?,ánh như
409,140.jpg,tên của quán này là gì ?,bún bò hà
410,140.jpg,địa chỉ của quán này ở đâu ?,59 quang trung
411,140.jpg,ở đây có bán gì ?,bún sườn bò
416,142.jpg,ở đây là đâu ?,chợ thủ đức
417,142.jpg,slogan của bức hình là gì ?,quyết tâm giữ vững chợ văn minh - thương nghiệp
418,143.jpg,đây là đâu ?,phố cửa nam
419,143.jpg,đây là đâu ?,phố đình ngang
420,144.jpg,tên của cửa hàng này là gì ?,hồng nhân
421,144.jpg,đây là của hàng gì ?,electronics
422,144.jpg,đây là điểm gì ?,điểm thu tiền
425,146.jpg,tên của cửa hàng là gì ?,nét huế
426,146.jpg,số nhà của cửa hàng là bao nhiêu ?,33
429,148.jpg,bức hình này của ai ?,du nam bistro
430,148.jpg,số điện thoại liên hệ chủ hình ?,0932 49 38 39
431,149.jpg,của hàng này tên gì ?,đỗ thúy lan
432,149.jpg,số điện thoại của cửa hàng này là gì ?,0975 . 197 . 921
433,149.jpg,ở đây có diệp lục gì ?,collagen
434,149.jpg,ở đây có diệp lục gì ?,lysine
435,150.jpg,đây là đâu ?,hội quán game
436,150.jpg,tên của quán game là gì ?,dr game
437,150.jpg,đại chỉ của quán game ?,40 nguyễn oanh - p . 7 - q . gò vấp
438,151.jpg,bảng trên cửa hiện những chữ gì ?,cảm ơn quý khách hàng đã sử dụng
439,151.jpg,tấm bảng muốn nói điều gì với khách hàng ?,cám ơn
440,151.jpg,dòng chữ muốn cảm ơn ai ?,khách hàng đã sử dụng
444,153.jpg,hãng điện thoại nào được thấy trên tấm bảng xanh lá ?,oppo
445,153.jpg,dòng chữ slogan của cửa hàng là gì ?,trải nghiệm đỉnh cao công nghệ
446,153.jpg,cửa hàng quảng cáo hãng nào sau cột đèn ?,huawei
447,153.jpg,điện thoại huawei trên tấm bảng có tên là gì ?,mate20 series
448,153.jpg,số điện thoại của tấm bảng cho thuê nhà màu xanh là gì ?,0921996688
449,153.jpg,huawei là đỉnh cao mới của thứ gì ?,trí tuệ nhân tạo
453,155.jpg,quán karaoke sau chiếc xe có tên là gì ?,gold club
454,155.jpg,căn nhà bên trái của quán karaoke bán gì ?,bánh đa cá rô đồng
455,155.jpg,kế bên cửa hàng sửa xe bán gì ?,phở bò
456,155.jpg,tiệm sửa xe trong bức hình có tên gì ?,tùng anh japan motor
457,156.jpg,cửa hàng điện tử này tên gì ?,uấn anh
458,156.jpg,tiệm tuấn anh mua linh kiện gì ?,điện tử - vi tính
459,156.jpg,số điện thoại của tiệm điện tử tuấn anh là gì ?,0613989273
460,156.jpg,địa chỉ của cửa tiệm này ở đâu ?,551 quốc lộ 1a tp . biên hòa đồng nai
462,158.jpg,tấm bảng không cho phép làm gì ?,đổ rác
463,158.jpg,câu slogan của tấm bảng là gì ?,nên nhớ mình là con người
464,158.jpg,không đổ rác ở đâu ?,tại đây
467,160.jpg,trang web của báo lao động là gì ?,laodong . vn
468,160.jpg,bức hình được lấy từ báo nào ?,lao động
469,161.jpg,khu tưởng niệm này ở đâu ?,tỉnh cần thơ
470,161.jpg,khu này tưởng niệm những ai ?,tập thể nhân dân anh hùng
471,162.jpg,quầy thuốc tay này tên gì ?,tường vy
472,162.jpg,quầy thuốc tây tường vy chuyên bán lẻ các loại thuốc gì ?,đông tay y nội ngoại nhập
473,162.jpg,số điện thoại của quầy thuốc tường vy là gì ?,01692 . 28 . 28 . 38
474,162.jpg,số nhà kế bên của quầy thuốc tây này là bao nhiêu ?,115
475,162.jpg,quầy thuốc tây này thuộc sở y tế nào ?,bình phước
476,162.jpg,địa chỉ của quầy thuốc tây tường vy ở đâu ?,"113 đường lê duẩn , p . tân phú , tx . đồng xoài"
479,164.jpg,giá rau ở đây là bao nhiêu ?,15 . 900
480,164.jpg,tấm bảng đề giá bao nhiêu ?,15 . 900
481,165.jpg,bức hình này lấy nguồn từ đâu ?,@phuot3mien . com
482,165.jpg,bức hình này được chụp bởi ai ?,trungnguyen
483,165.jpg,ai là người chụp tấm hình này ?,trungnguyen
484,166.jpg,người phụ nữ đang bán gì ?,bánh cuốn nóng
485,166.jpg,ở đây bán như thế nào ?,mang về
486,166.jpg,số điện thoại của người bán ở đâu là gì ?,0912280325
487,166.jpg,số điện thoại của người bán ở đâu là gì ?,0943527468
493,168.jpg,cuốn sách này tên gì ?,mẹ bầu hạnh phúc
494,168.jpg,tác giả của cuốn sách là ai ?,trần thị huyên thảo
495,168.jpg,cuốn sách được phát hảnh bởi nhà xuất bản nào ?,văn hóa
496,169.jpg,ở đây đang diễn ra sự kiện gì ?,kỳ họp quốc hội
497,170.jpg,các bé thiếu nhi đang nhận quà ở đâu ?,hội chợ
498,170.jpg,hội chợ này diễn ra khi nào ?,xuân kỷ hợi
499,171.jpg,tên của công ty này là gì ?,lộc nam việt
500,171.jpg,địa chỉ của công ty này ở đâu ?,"1695 bùi ăn hòa ( quốc lộ 15 cũ ) , p . phước tân , tp . biên hòa , đồng nai"
501,171.jpg,số điện thoại của công ty lộc nam việt là gì ?,0979938545
502,171.jpg,số điện thoại của công ty lộc nam việt là gì ?,( 061 ) 3939451
503,171.jpg,số điện thoại của công ty lộc nam việt là gì ?,0985564245
504,171.jpg,website của công ty là gì ?,www . locnamviet . com
505,171.jpg,email của công ty là gì ?,loc@locnamviet . com
507,173.jpg,tấm băng rôn nói đến người dân ở đâu ?,biên hòa
508,173.jpg,tấm băng rôn nói những người ở dây cảm thấy như thế nào ?,xấu hổ
509,173.jpg,người dân ở đây xấu hổ thay cho những ai đã làm gì ?,cướp vài lon bia
510,174.jpg,dòng chữ màu đỏ của tấm bảng nói về điều gì ?,công nghệ cao
514,176.jpg,chữ màu trắng trên bảng xanh là gì ?,asper
515,176.jpg,tấm bảng xanh dương có chữ gì ?,asper
